"district","PVI","incumbent","clinton_vote","clinton_pct","trump_vote","trump_pct"
"TX-01","R+25","Louie Gohmert (R)","66389","25.1%","189596","71.7%"
"TX-02","R+11","Dan Crenshaw (R)","119659","42.8%","145530","52.0%"
"TX-03","R+13","Van Taylor (R)","129384","39.9%","174561","53.8%"
"TX-04","R+28","John Ratcliffe (R)","60799","21.6%","210448","74.9%"
"TX-05","R+16","Lance Gooden (R)","79759","34.2%","145846","62.5%"
"TX-06","R+9","Ron Wright (R)","115272","41.6%","148945","53.8%"
"TX-07","R+7","Lizzie Fletcher (D)","124722","48.2%","121204","46.8%"
"TX-08","R+28","Kevin Brady (R)","70520","23.6%","214567","71.9%"
"TX-09","D+29","Al Green (D)","151559","79.1%","34447","18.0%"
"TX-10","R+9","Michael McCaul (R)","135967","42.8%","164817","51.9%"
"TX-11","R+32","Mike Conaway (R)","47470","19.0%","193619","77.5%"
"TX-12","R+18","Kay Granger (R)","92549","32.5%","177939","62.4%"
"TX-13","R+33","Mac Thornberry (R)","40237","16.8%","190779","79.5%"
"TX-14","R+12","Randy Weber (R)","101228","38.3%","153191","58.0%"
"TX-15","D+7","Vicente Gonzalez (D)","104454","56.2%","73689","39.7%"
"TX-16","D+17","Veronica Escobar (D)","130784","67.2%","52334","26.9%"
"TX-17","R+12","Bill Flores (R)","96155","38.4%","139411","55.7%"
"TX-18","D+27","Sheila Jackson Lee (D)","157117","76.2%","41011","19.9%"
"TX-19","R+27","Jodey Arrington (R)","53512","23.3%","165280","72.0%"
"TX-20","D+10","Joaquin Castro (D)","132453","60.2%","74479","33.9%"
"TX-21","R+10","Chip Roy (R)","152515","42.1%","188277","51.9%"
"TX-22","R+10","Pete Olson (R)","135525","43.9%","159717","51.7%"
"TX-23","R+1","Will Hurd (R)","115133","49.4%","107058","45.9%"
"TX-24","R+9","Kenny Marchant (R)","122878","44.3%","140129","50.5%"
"TX-25","R+11","Roger Williams (R)","125947","39.9%","172462","54.7%"
"TX-26","R+18","Michael Burgess (R)","109530","34.0%","194032","60.3%"
"TX-27","R+13","Michael Cloud (R)","85589","36.4%","140787","59.8%"
"TX-28","D+9","Henry Cuellar (D)","109973","57.8%","72479","38.1%"
"TX-29","D+19","Sylvia Garcia (D)","95027","71.0%","34011","25.4%"
"TX-30","D+29","Eddie Bernice Johnson (D)","174528","79.1%","40333","18.3%"
"TX-31","R+10","John Carter (R)","117181","40.1%","153823","52.6%"
"TX-32","R+5","Colin Allred (D)","134895","48.4%","129701","46.6%"
"TX-33","D+23","Marc Veasey (D)","94513","72.8%","30787","23.7%"
"TX-34","D+10","Filemon Vela (D)","101704","59.1%","64716","37.6%"
"TX-35","D+15","Lloyd Doggett (D)","128482","63.6%","61139","30.3%"
"TX-36","R+26","Brian Babin (R)","64217","25.1%","183144","71.7%"
"UT-01","R+26","Rob Bishop (R)","62733","22.4%","139503","49.7%"
"UT-02","R+16","Chris Stewart (R)","90686","32.0%","130525","46.0%"
"UT-03","R+25","John Curtis (R)","67461","23.3%","136782","47.2%"
"UT-04","R+13","Ben McAdams (D)","89796","32.4%","108421","39.1%"
"VA-01","R+8","Rob Wittman (R)","163522","40.9%","212402","53.1%"
"VA-02","R+3","Elaine Luria (D)","145171","45.0%","156283","48.4%"
"VA-03","D+16","Bobby Scott (D)","205746","63.2%","103064","31.7%"
"VA-04","D+10","Don McEachin (D)","212677","58.4%","134676","37.0%"
"VA-05","R+6","Denver Riggleman (R)","154665","42.1%","195190","53.1%"
"VA-06","R+13","Ben Cline (R)","120596","34.7%","206303","59.3%"
"VA-07","R+6","Abigail Spanberger (D)","172544","43.7%","198032","50.2%"
"VA-08","D+21","Don Beyer (D)","270415","72.4%","76854","20.6%"
"VA-09","R+19","Morgan Griffith (R)","86463","27.2%","217837","68.4%"
"VA-10","D+1","Jennifer Wexton (D)","210692","51.6%","170580","41.7%"
"VA-11","D+15","Gerry Connolly (D)","238982","66.1%","98222","27.2%"
"VT-AL","D+15","Peter Welch (D)","178573","56.7%","95369","30.3%"
"WA-01","D+6","Suzan DelBene (D)","188061","54.2%","131208","37.8%"
"WA-02","D+10","Rick Larsen (D)","186375","56.9%","114062","34.8%"
"WA-03","R+4","Jaime Herrera Beutler (R)","134009","42.5%","157359","49.9%"
"WA-04","R+13","Dan Newhouse (R)","85083","35.1%","140558","57.9%"
"WA-05","R+8","Cathy McMorris Rodgers (R)","125074","39.1%","166734","52.2%"
"WA-06","D+6","Derek Kilmer (D)","172874","51.8%","131589","39.5%"
"WA-07","D+33","Pramila Jayapal (D)","341396","82.1%","50872","12.2%"
"WA-08","EVEN","Kim Schrier (D)","152940","47.7%","143220","44.7%"
"WA-09","D+21","Adam Smith (D)","205420","70.4%","68136","23.4%"
"WA-10","D+5","Denny Heck (D)","151075","51.2%","117694","39.9%"
"WI-01","R+5","Bryan Steil (R)","150436","41.8%","187372","52.1%"
"WI-02","D+18","Mark Pocan (D)","271507","64.9%","119608","28.6%"
"WI-03","EVEN","Ron Kind (D)","160999","44.3%","177172","48.8%"
"WI-04","D+25","Gwen Moore (D)","228226","73.0%","67287","21.5%"
"WI-05","R+13","Jim Sensenbrenner (R)","148900","36.7%","229325","56.5%"
"WI-06","R+8","Glenn Grothman (R)","141917","38.2%","203433","54.8%"
"WI-07","R+8","Sean Duffy (R)","137874","36.9%","213467","57.2%"
"WI-08","R+7","Mike Gallagher (R)","142677","38.3%","207620","55.7%"
"WV-01","R+19","David McKinley (R)","64384","26.4%","165934","68.0%"
"WV-02","R+17","Alex Mooney (R)","73487","29.4%","164674","65.8%"
"WV-03","R+23","Carol Miller (R)","50923","23.3%","158763","72.5%"
"WY-AL","R+25","Liz Cheney (R)","55973","21.9%","174419","68.2%"
